Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.40977019424241,72.46076851156026,71.15666666509587,72.40050506591797,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.6291376132339,72.45595040957373,71.47245410922795,71.6966323852539,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,70.81920068576198,72.30649856939735,70.5685026643333,72.26792907714844,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.27758611058375,72.53310260522755,71.70870255084994,71.92806243896484,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.63153674763797,73.38640783949229,71.63153674763797,73.08509063720703,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.06136720541696,74.83032941641996,73.81067654984861,74.63748931884766,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,74.87130260503702,75.37028567561227,74.30482477296201,74.80621337890625,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.12201817653433,76.4309386915993,75.00389679896787,76.4044189453125,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.34174457661803,76.55146021431688,75.24977111147209,75.3727035522461,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.17263768221467,76.05248268254357,74.61820946436237,75.04969787597656,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.5920697800867,76.10069718746519,75.23048903454546,75.98980712890625,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.23811023432756,76.83351362979406,75.93197444596949,76.83110809326172,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.45985409290795,76.90097930249982,76.17299948734095,76.3104019165039,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,76.79492300181599,77.13480977194556,76.48878729766383,76.58280181884766,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.63583446102108,77.03115890447519,76.08863757604202,76.95161437988281,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.19747280109205,77.93991520434014,76.53939333547534,76.72982788085938,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,74.74115326828117,75.15335327614349,73.49249613883003,74.47358703613281,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,75.35342783283777,76.7515370876536,75.25459488094803,76.58039093017578,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,78.20992276333985,79.02950436307852,77.46988569545148,78.18340301513672,216229200,0.0,0.0
