Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,71.4097927692221,72.46079141879511,71.15668916006118,72.40052795410156,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,71.6291376132339,72.45595040957373,71.47245410922795,71.6966323852539,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,70.81920068576198,72.30649856939735,70.5685026643333,72.26792907714844,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,72.27756311117845,72.5330795245145,71.70867973246871,71.92803955078125,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,71.63158909123841,73.38646146543675,71.63158909123841,73.08514404296875,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.06137477592067,74.83033706552648,73.81068409472688,74.63749694824219,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,74.87132551313572,75.370308736383,74.30484750773756,74.80623626708984,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.1220256778742,76.43094632364196,75.0039042885127,76.40442657470703,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,76.34172912165194,76.55144471689502,75.24975587757001,75.37268829345703,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.17262239843001,76.05246721987251,74.61819429330173,75.0496826171875,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,75.5920621906251,76.10068954693726,75.23048148138665,75.98979949951172,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,76.23809509330889,76.83349837052724,75.93195936574989,76.83109283447266,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,76.45986173724447,76.90098699093934,76.1730071029982,76.31040954589844,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,76.79493065234263,77.13481745633268,76.48879491769239,76.58280944824219,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,76.63583446102108,77.03115890447519,76.08863757604202,76.95161437988281,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.19746512519868,77.9399074546243,76.53938572501609,76.72982025146484,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,74.74113795467083,75.15333787807808,73.4924810810553,74.47357177734375,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,75.35342783283777,76.7515370876536,75.25459488094803,76.58039093017578,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,78.20992276333985,79.02950436307852,77.46988569545148,78.18340301513672,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,77.26740800153176,78.12314628033491,76.83591952309017,78.07011413574219,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,77.3614124669731,77.78325671620777,74.31449554353281,74.60858154296875,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,73.35266528651083,75.5679502030693,72.85127664058147,74.4036636352539,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,76.00669833273602,77.05046575296248,75.60172957976908,76.86003112792969,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,77.98573887898152,78.28465065522497,76.88412837567931,77.48676300048828,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,77.7567339114429,78.39552507490272,77.1999001655233,78.39311218261719,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,77.8929335802923,78.14180794117812,76.83702966688513,77.32752990722656,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,75.914034625019,77.69481658935547,75.83430131081457,77.69481658935547,109348800,0.0,0.0
2020-02-11 00:00:00-05:00,78.19016687181822,78.26265171467769,77.00861231633205,77.22607421875,94323200,0.0,0.0
2020-02-12 00:00:00-05:00,77.67547099896561,79.0648197921596,77.67547099896561,79.05998992919922,113730400,0.0,0.0
2020-02-13 00:00:00-05:00,78.33272065286425,78.82322105727773,78.12975573109031,78.49702453613281,94747600,0.0,0.0
