Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,150.41533767385138,152.26260717686054,149.98904693545595,152.1584014892578,22622100,0.0,0.0
2020-01-03 00:00:00-05:00,149.9795792382155,151.52369966939423,149.7332670007078,150.26376342773438,21116200,0.0,0.0
2020-01-06 00:00:00-05:00,148.80489122518964,150.718479922249,148.26491238072057,150.65216064453125,20813700,0.0,0.0
2020-01-07 00:00:00-05:00,150.92687424549183,151.2584272318134,149.03223619242732,149.27853393554688,21634100,0.0,0.0
2020-01-08 00:00:00-05:00,150.55741741152548,152.32891395537885,149.62904874222338,151.65631103515625,27746500,0.0,0.0
2020-01-09 00:00:00-05:00,153.3140888517151,153.67407466292312,152.54676284777327,153.55091857910156,21385000,0.0,0.0
2020-01-10 00:00:00-05:00,154.24254291815313,154.62146487473208,152.6889253133197,152.8404998779297,20725900,0.0,0.0
2020-01-13 00:00:00-05:00,153.2383846388445,154.70673263527453,152.76472492741206,154.67831420898438,21626500,0.0,0.0
2020-01-14 00:00:00-05:00,154.78243804877684,154.98138138252065,153.2004171840242,153.5888214111328,23477400,0.0,0.0
2020-01-15 00:00:00-05:00,154.05304542489407,155.30351372144347,154.00569102831227,154.5835418701172,21417900,0.0,0.0
2020-01-16 00:00:00-05:00,155.6919174437164,157.48235016664844,155.38876835912026,157.41603088378906,23865400,0.0,0.0
2020-01-17 00:00:00-05:00,158.60019275971428,158.64756161489345,156.71502218116595,158.29705810546875,34371700,0.0,0.0
2020-01-21 00:00:00-05:00,157.89914820309696,159.32960936368943,157.66231841676765,157.7286376953125,29517200,0.0,0.0
2020-01-22 00:00:00-05:00,158.58120365895033,158.66647335945913,156.95181373171633,156.97076416015625,24138800,0.0,0.0
2020-01-23 00:00:00-05:00,157.4349946879729,158.01286003149272,156.5634626781463,157.93707275390625,19680800,0.0,0.0
2020-01-24 00:00:00-05:00,158.68543005957545,158.70438049049056,155.7866356921332,156.34555053710938,24918100,0.0,0.0
2020-01-27 00:00:00-05:00,152.66046656819069,154.77299856024104,151.76051631780365,153.73094177246094,32078100,0.0,0.0
2020-01-28 00:00:00-05:00,155.1518896616524,157.02757705290495,154.4793013314532,156.74339294433594,24899900,0.0,0.0
